name         B      Berr     V     Verr      g       gerr      r     rerr      i     ierr      J     Jerr     H     Herr   K     Kerr     W1     W1err    W2     W2err     W3     W3err     W4    W4err
201208431 16.229  0.05    14.907   0.03   15.557     0.04    14.291  0.07    13.890  0.12    12.367  0.02   11.747  0.02  11.571  0.02  11.508   0.022  11.549   0.021   11.576   0.195    0.00   1e50
201257461 12.819  0.03    11.768   0.01   12.241     0.04    11.488  0.01    11.189  0.02     9.994  0.02    9.479  0.02   9.368  0.02   9.278   0.022   9.367   0.019    9.305   0.035    8.573  1e50   
201295312 12.782  0.04    12.189   0.12   12.413     0.03    12.084  0.09    12.014  0.21    11.018  0.03   10.696  0.02  10.693  0.02  10.635   0.024  10.685   0.022   10.748   0.116    0.00   1e50
201338508 16.296  0.07    14.912   0.03   15.623     0.05    14.334  0.02    13.792  0.05    12.449  0.03   11.758  0.02  11.595  0.02  11.487   0.025  11.494   0.023   11.161   0.129    0.00   1e50
201367065 13.524  0.06    12.167   0.01   12.871     0.03    11.582  0.02    10.983  0.17     9.421  0.03    8.805  0.04   8.561  0.02   8.443   0.022   8.424   0.019    8.322   0.021    8.251  0.298
201384232 13.302  0.05    12.654   0.04   12.914     0.05    12.482  0.06    12.343  0.07    11.440  0.02   11.090  0.02  11.069  0.02  10.999   0.024  11.049   0.022   11.214   0.160    0.00   1e50
201393098 13.902  0.04    13.213   0.03   13.545     0.06    13.024  0.04    12.845  0.05    11.952  0.02   11.628  0.02  11.564  0.02  11.519   0.022  11.569   0.023   11.609   0.206    0.00   1e50
201403446 12.485  0.02    12.029   0.02   12.180     0.01    11.944  0.05    11.860  0.04    11.046  0.03   10.761  0.02  10.781  0.02  10.673   0.025  10.713   0.021   10.362   0.070    0.00   1e50  
201445392 15.726  0.02    14.609   0.03   15.189     0.04    14.288  0.02    14.027  0.07    12.829  0.03   12.318  0.03  12.245  0.03  12.159   0.022  12.215   0.024   11.780   1e50     0.00   1e50
201465501  0.000  1e30     0.000   1e50   16.725     0.02    15.180  0.03    14.350  0.15    12.451  0.02   11.710  0.02  11.495  0.02  11.348   0.022  11.214   0.021   11.354   0.193    0.00   1e50
201505350 13.798  0.02    13.002   0.01   13.359     0.02    12.764  0.01    12.568  0.02    11.596  0.02   11.208  0.02  11.161  0.03  11.097   0.024  11.134   0.023   10.948   0.124    0.00   1e50
201546283 13.506  0.07    12.644   0.02   13.031     0.02    12.367  0.02    12.166  0.05    11.157  0.02   10.794  0.03  10.704  0.02  10.606   0.023  10.663   0.020   10.534   0.093    0.00   1e50
201549860 15.556  0.06    14.366   0.05   14.946     0.07    13.853  0.03    13.454  0.05    12.144  0.02   11.564  0.02  11.423  0.02  11.383   0.023  11.464   0.021   11.599   0.248    0.00   1e50
201555883 16.480  0.01    15.426   0.01   16.187     0.10    15.093  0.13    14.549  0.08    13.195  0.02   12.533  0.03  12.431  0.03  12.335   0.022  12.382   0.027   12.034   1e50     0.00   1e50
201565013  0.000  1e50     0.000   1e50   18.255     0.01    16.905  0.01    16.338  0.01    14.777  0.04   14.114  0.05  14.084  0.07  13.938   0.027  13.874   0.04    12.121   1e50     0.00   1e50
201569483 12.901  0.08    12.048   0.07   12.442     0.03    11.761  0.08    11.476  0.08    10.386  0.02    9.972  0.03   9.883  0.02   9.823   0.022   9.870   0.021    9.819   0.048    0.00   1e50
201577035 13.138  0.11    12.418   0.02   12.700     0.04    12.211  0.03    12.129  0.20    11.059  0.02   10.750  0.02  10.645  0.02  10.638   0.023  10.692   0.021   10.546   0.095    0.00   1e50
201596316 14.214  0.011   13.386   0.09   13.778     0.07    13.137  0.12    12.878  0.10    11.865  0.02   11.458  0.02  11.347  0.02  11.291   0.023  11.353   0.021   10.799   0.107    0.00   1e50
201613023 12.990  0.09    12.258   0.01   12.561     0.03    12.049  0.03    11.960  0.08    10.983  0.02   10.712  0.02  10.605  0.02  10.582   0.024  10.631   0.021   10.589   0.095    0.00   1e50
201617985 16.336  0.02    14.863   0.05   15.618     0.06    14.261  0.08    13.416  0.09    11.719  0.02   11.094  0.04  10.900  0.02  10.728   0.022  10.704   0.022   10.856   0.114    0.00   1e50
201629650 13.609  0.03    12.901   0.04   13.197     0.03    12.727  0.01    12.528  0.06    11.571  0.03   11.260  0.02  11.169  0.03  11.137   0.022  11.177   0.021   10.934   0.117    0.00   1e50
201635569 17.736  0.16    16.310   0.01   17.022     0.01    15.623  0.01    14.871  0.01    13.416  0.03   12.772  0.02  12.611  0.03  12.521   0.025  12.552   0.027   12.057   1e50     0.00   1e50
201649426 14.575  0.03    13.529   0.01   14.042     0.01    13.181  0.02    12.859  0.06    11.566  0.02   11.073  0.02  11.073  0.02  10.879   0.023  10.906   0.021   10.855   0.122    0.00   1e50
201702477 15.272  0.05    14.569   0.04   14.891     0.04    14.399  0.06    14.236  0.03    13.268  0.03   12.881  0.03  12.766  0.03  12.814   0.024  12.840   0.027   11.756   1e50     0.00   1e50
201736247 15.490  0.06    14.663   0.05   15.011     0.04    14.349  0.04    14.139  0.02    13.067  0.02   12.555  0.02  12.495  0.03  12.462   0.024  12.499   0.024   11.846   1e50     0.00   1e50
201754305 15.647  0.04    14.648   0.01   15.126     0.04    14.279  0.01    13.929  0.05    12.764  0.03   12.207  0.03  12.087  0.02  12.061   0.023  12.098   0.023   12.341   0.462    0.00   1e50
201779067 11.812  0.01    11.269   0.01   11.528     0.07    11.119  0.01    10.949  0.01    10.129  0.02    9.869  0.02   9.802  0.02   9.740   0.022   9.769   0.020    9.739   0.044    0.00   1e50
201828749 12.478  0.04    11.763   0.01   12.135     0.05    11.582  0.04    11.316  0.04    10.494  0.03   10.227  0.04   9.933  0.03   9.820   0.023   9.866   0.021    9.982   0.058    0.00   1e50
201855371 14.819  0.06    13.519   0.04   14.199     0.06    12.958  0.03    12.452  0.01    11.076  0.02   10.436  0.02  10.308  0.02  10.216   0.022  10.264   0.020   10.122   0.071    0.00   1e50
201912552 15.005  0.06    13.496   0.05   14.223     0.05    12.858  0.04    11.661  0.08     9.763  0.03    9.135  0.03   8.899  0.02   8.769   0.023   8.668   0.020    8.552   0.025    8.587  0.379
201929294 14.325  0.04    13.315   0.03   13.782     0.05    12.969  0.07    12.611  0.09    11.477  0.03   10.982  0.02  10.798  0.02  10.726   0.023  10.779   0.019   10.673   0.103    0.00   1e50
